date,hPa,q1,q2
2018/4/29 7:00:00,1014.2,8,1
2018/4/29 8:00:00,1014.1,8,1
2018/4/29 9:00:00,1013.9,8,1
2018/4/29 10:00:00,1013.8,8,1
2018/4/29 11:00:00,1013.0,8,1
2018/4/29 12:00:00,1012.4,8,1
2018/4/29 13:00:00,1012.1,8,1
2018/4/29 14:00:00,1012.0,8,1
2018/4/29 15:00:00,1011.9,8,1
2018/4/29 16:00:00,1011.6,8,1
2018/4/29 17:00:00,1011.5,8,1
2018/4/29 18:00:00,1011.7,8,1
2018/4/29 19:00:00,1012.0,8,1
2018/4/29 20:00:00,1012.9,8,1
2018/4/29 21:00:00,1013.3,8,1
2018/4/29 22:00:00,1013.0,8,1
2018/4/29 23:00:00,1013.1,8,1
2018/4/30 00:00:00,1013.2,8,1
2018/4/30 1:00:00,1012.5,8,1
2018/4/30 2:00:00,1012.0,8,1
2018/4/30 3:00:00,1012.3,8,1
2018/4/30 4:00:00,1012.3,8,1
2018/4/30 5:00:00,1012.7,8,1
2018/4/30 6:00:00,1013.6,8,1
2018/4/30 7:00:00,1014.1,8,1
2018/4/30 8:00:00,1014.3,8,1
2018/4/30 9:00:00,1013.9,8,1
2018/4/30 10:00:00,1013.7,8,1
2018/4/30 11:00:00,1013.3,8,1
2018/4/30 12:00:00,1013.1,8,1
2018/4/30 13:00:00,1013.1,8,1
2018/4/30 14:00:00,1012.6,8,1
2018/4/30 15:00:00,1012.5,8,1
2018/4/30 16:00:00,1012.3,8,1
2018/4/30 17:00:00,1012.5,8,1
2018/4/30 18:00:00,1012.9,8,1
2018/4/30 19:00:00,1013.5,8,1
2018/4/30 20:00:00,1014.6,8,1
2018/4/30 21:00:00,1014.9,8,1
2018/4/30 22:00:00,1015.0,8,1
2018/4/30 23:00:00,1014.8,8,1
2018/5/1 00:00:00,1014.5,8,1
2018/5/1 1:00:00,1014.6,8,1
2018/5/1 2:00:00,1015.0,8,1
2018/5/1 3:00:00,1015.1,8,1
2018/5/1 4:00:00,1015.6,8,1
2018/5/1 5:00:00,1015.5,8,1
2018/5/1 6:00:00,1015.9,8,1
2018/5/1 7:00:00,1016.2,8,1
2018/5/1 8:00:00,1016.2,8,1
2018/5/1 9:00:00,1016.2,8,1
2018/5/1 10:00:00,1015.9,8,1
2018/5/1 11:00:00,1015.5,8,1
2018/5/1 12:00:00,1014.2,8,1
2018/5/1 13:00:00,1013.4,8,1
2018/5/1 14:00:00,1013.3,8,1
2018/5/1 15:00:00,1012.8,8,1
2018/5/1 16:00:00,1012.8,8,1
2018/5/1 17:00:00,1013.1,8,1
2018/5/1 18:00:00,1013.2,8,1
2018/5/1 19:00:00,1013.8,8,1
2018/5/1 20:00:00,1014.3,8,1
2018/5/1 21:00:00,1014.5,8,1
2018/5/1 22:00:00,1014.0,8,1
2018/5/1 23:00:00,1013.9,8,1
2018/5/2 00:00:00,1013.3,8,1
2018/5/2 1:00:00,1012.6,8,1
2018/5/2 2:00:00,1012.3,8,1
2018/5/2 3:00:00,1011.7,8,1
2018/5/2 4:00:00,1011.7,8,1
2018/5/2 5:00:00,1011.5,8,1
2018/5/2 6:00:00,1010.9,8,1
2018/5/2 7:00:00,1010.3,8,1
2018/5/2 8:00:00,1010.4,8,1
2018/5/2 9:00:00,1009.2,8,1
2018/5/2 10:00:00,1008.6,8,1
2018/5/2 11:00:00,1007.7,8,1
2018/5/2 12:00:00,1006.3,8,1
2018/5/2 13:00:00,1005.0,8,1
2018/5/2 14:00:00,1004.5,8,1
2018/5/2 15:00:00,1004.4,8,1
2018/5/2 16:00:00,1004.0,8,1
2018/5/2 17:00:00,1003.8,8,1
2018/5/2 18:00:00,1003.4,8,1
2018/5/2 19:00:00,1002.5,8,1
2018/5/2 20:00:00,1001.6,8,1
2018/5/2 21:00:00,1000.7,8,1
2018/5/2 22:00:00,999.6,8,1
2018/5/2 23:00:00,999.0,8,1
2018/5/3 00:00:00,997.7,8,1
2018/5/3 1:00:00,996.9,8,1
2018/5/3 2:00:00,996.3,8,1
2018/5/3 3:00:00,996.9,8,1
2018/5/3 4:00:00,997.0,8,1
2018/5/3 5:00:00,997.7,8,1
2018/5/3 6:00:00,998.2,8,1
2018/5/3 7:00:00,998.7,8,1
2018/5/3 8:00:00,999.4,8,1
2018/5/3 9:00:00,1000.0,8,1
2018/5/3 10:00:00,1001.2,8,1
2018/5/3 11:00:00,1002.1,8,1
2018/5/3 12:00:00,1003.1,8,1
2018/5/3 13:00:00,1003.5,8,1
2018/5/3 14:00:00,1003.8,8,1
2018/5/3 15:00:00,1003.7,8,1
2018/5/3 16:00:00,1003.5,8,1
2018/5/3 17:00:00,1003.5,8,1
2018/5/3 18:00:00,1003.9,8,1
2018/5/3 19:00:00,1004.7,8,1
2018/5/3 20:00:00,1005.1,8,1
2018/5/3 21:00:00,1005.2,8,1
2018/5/3 22:00:00,1004.7,8,1
2018/5/3 23:00:00,1004.0,8,1
2018/5/4 00:00:00,1003.5,8,1
2018/5/4 1:00:00,1003.3,8,1
2018/5/4 2:00:00,1004.0,8,1
2018/5/4 3:00:00,1005.1,8,1
2018/5/4 4:00:00,1005.5,8,1
2018/5/4 5:00:00,1006.4,8,1
2018/5/4 6:00:00,1006.9,8,1
2018/5/4 7:00:00,1007.5,8,1
2018/5/4 8:00:00,1008.3,8,1
2018/5/4 9:00:00,1009.3,8,1
2018/5/4 10:00:00,1010.2,8,1
2018/5/4 11:00:00,1010.0,8,1
2018/5/4 12:00:00,1009.5,8,1
2018/5/4 13:00:00,1008.6,8,1
2018/5/4 14:00:00,1008.3,8,1
2018/5/4 15:00:00,1008.3,8,1
2018/5/4 16:00:00,1008.1,8,1
2018/5/4 17:00:00,1008.7,8,1
2018/5/4 18:00:00,1009.8,8,1
2018/5/4 19:00:00,1010.7,8,1
2018/5/4 20:00:00,1011.4,8,1
2018/5/4 21:00:00,1011.9,8,1
2018/5/4 22:00:00,1012.2,8,1
2018/5/4 23:00:00,1012.4,8,1
2018/5/5 00:00:00,1012.2,8,1
2018/5/5 1:00:00,1012.0,8,1
2018/5/5 2:00:00,1013.5,8,1
2018/5/5 3:00:00,1013.0,8,1
2018/5/5 4:00:00,1012.5,8,1
2018/5/5 5:00:00,1012.7,8,1
2018/5/5 6:00:00,1013.1,8,1
2018/5/5 7:00:00,1013.2,8,1
2018/5/5 8:00:00,1013.8,8,1
2018/5/5 9:00:00,1014.0,8,1
2018/5/5 10:00:00,1014.1,8,1
2018/5/5 11:00:00,1014.2,8,1
2018/5/5 12:00:00,1014.0,8,1
2018/5/5 13:00:00,1013.9,8,1
2018/5/5 14:00:00,1013.4,8,1
2018/5/5 15:00:00,1013.3,8,1
2018/5/5 16:00:00,1013.3,8,1
2018/5/5 17:00:00,1012.9,8,1
2018/5/5 18:00:00,1013.6,8,1
2018/5/5 19:00:00,1014.3,8,1
2018/5/5 20:00:00,1015.0,8,1
2018/5/5 21:00:00,1015.7,8,1
2018/5/5 22:00:00,1016.5,8,1
2018/5/5 23:00:00,1016.0,8,1
2018/5/6 00:00:00,1016.1,8,1
2018/5/6 1:00:00,1015.6,8,1
2018/5/6 2:00:00,1014.6,8,1
2018/5/6 3:00:00,1014.3,8,1
2018/5/6 4:00:00,1014.2,8,1
2018/5/6 5:00:00,1013.8,8,1
2018/5/6 6:00:00,1013.8,8,1
2018/5/6 7:00:00,1013.2,8,1
2018/5/6 8:00:00,1012.9,8,1
2018/5/6 9:00:00,1012.7,8,1
2018/5/6 10:00:00,1012.4,8,1
2018/5/6 11:00:00,1011.2,8,1
2018/5/6 12:00:00,1009.9,8,1
2018/5/6 13:00:00,1009.4,8,1
2018/5/6 14:00:00,1008.3,8,1
2018/5/6 15:00:00,1008.2,8,1
2018/5/6 16:00:00,1008.5,8,1
2018/5/6 17:00:00,1008.6,8,1
2018/5/6 18:00:00,1008.9,8,1
2018/5/6 19:00:00,1009.2,8,1
2018/5/6 20:00:00,1009.2,8,1
2018/5/6 21:00:00,1009.7,8,1
2018/5/6 22:00:00,1009.4,8,1
2018/5/6 23:00:00,1008.8,8,1
2018/5/7 00:00:00,1008.0,8,1
